"taxnum","case_num","charge","case_value","disposition"
"953614",NA,NA,NA,NA
"971776",NA,NA,NA,NA
"941303",NA,NA,NA,NA
"973192",NA,NA,NA,NA
"948581",NA,NA,NA,NA
"970959",NA,NA,NA,NA
"942890",NA,NA,NA,NA
"944259",NA,NA,NA,NA
"924857",NA,NA,NA,NA
"955703",NA,NA,NA,NA
"961590",NA,NA,NA,NA
"962910",NA,NA,NA,NA
"942923","2015-14153","WHILE ON DUTY WAS DISCOURTEOUS TO A PERSON KNOWN TO THE DEPARTMENT.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(4 day(s) )","GUILTY"
"942923","2015-14153","WHILE ON DUTY THREATENED TO ARREST A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(4 day(s) )","GUILTY"
"942924","2010-30","WRONGFULLY OPERATED A VEHICLE WHILE UNDER THE INFLUENCE OF AN INTOXICANT.","Case: 1, Penalty: COUNSELING, DISMISSAL PROBATION&nbsp;<i>(12 month(s) )</i>, ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(30 day(s) )</i>, VACATION DAYS&nbsp;<i>(10 day(s) )","GUILTY"
"942924","2010-30","OPERATED A VEHICLE WHILE IMPAIRED BY AN INTOXICANT.","Case: 1, Penalty: COUNSELING, DISMISSAL PROBATION&nbsp;<i>(12 month(s) )</i>, ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(30 day(s) )</i>, VACATION DAYS&nbsp;<i>(10 day(s) )","GUILTY"
"942924","2010-30","UNFIT FOR DUTY .","Case: 1, Penalty: COUNSELING, DISMISSAL PROBATION&nbsp;<i>(12 month(s) )</i>, ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(30 day(s) )</i>, VACATION DAYS&nbsp;<i>(10 day(s) )","GUILTY"
"968207",NA,NA,NA,NA
"949949",NA,NA,NA,NA
"936089",NA,NA,NA,NA
"948582",NA,NA,NA,NA
"969444",NA,NA,NA,NA
"924858",NA,NA,NA,NA
"973048",NA,NA,NA,NA
"970960",NA,NA,NA,NA
"963354",NA,NA,NA,NA
"915211",NA,NA,NA,NA
"960117",NA,NA,NA,NA
"914653",NA,NA,NA,NA
"971777",NA,NA,NA,NA
"958211",NA,NA,NA,NA
"954454",NA,NA,NA,NA
"949950",NA,NA,NA,NA
"967736",NA,NA,NA,NA
"960119",NA,NA,NA,NA
"945448",NA,NA,NA,NA
"937932",NA,NA,NA,NA
"957312",NA,NA,NA,NA
"967737",NA,NA,NA,NA
"960120",NA,NA,NA,NA
"960121",NA,NA,NA,NA
"942925",NA,NA,NA,NA
"965131",NA,NA,NA,NA
"946717",NA,NA,NA,NA
"971778",NA,NA,NA,NA
"907684",NA,NA,NA,NA
"958212",NA,NA,NA,NA
"941306",NA,NA,NA,NA
"879276",NA,NA,NA,NA
"949951",NA,NA,NA,NA
"969445",NA,NA,NA,NA
"941307",NA,NA,NA,NA
"921890",NA,NA,NA,NA
"941308",NA,NA,NA,NA
"901526",NA,NA,NA,NA
"921101",NA,NA,NA,NA
"954456",NA,NA,NA,NA
"969446",NA,NA,NA,NA
"964354",NA,NA,NA,NA
"949953",NA,NA,NA,NA
"941309",NA,NA,NA,NA
"937934",NA,NA,NA,NA
"966922",NA,NA,NA,NA
"941494",NA,NA,NA,NA
"933590",NA,NA,NA,NA
"938882",NA,NA,NA,NA
"959483",NA,NA,NA,NA
"941310",NA,NA,NA,NA
"947701",NA,NA,NA,NA
"947702",NA,NA,NA,NA
"965917",NA,NA,NA,NA
"970961",NA,NA,NA,NA
"969447",NA,NA,NA,NA
"929583",NA,NA,NA,NA
"964856",NA,NA,NA,NA
"958213",NA,NA,NA,NA
"945450",NA,NA,NA,NA
"927777",NA,NA,NA,NA
"963830",NA,NA,NA,NA
"941311",NA,NA,NA,NA
"954457",NA,NA,NA,NA
"948584",NA,NA,NA,NA
"956364",NA,NA,NA,NA
"956365",NA,NA,NA,NA
"940184",NA,NA,NA,NA
"945451",NA,NA,NA,NA
"972493",NA,NA,NA,NA
"973194",NA,NA,NA,NA
"973195",NA,NA,NA,NA
"964858",NA,NA,NA,NA
"968911",NA,NA,NA,NA
"968208",NA,NA,NA,NA
"972494",NA,NA,NA,NA
"970366",NA,NA,NA,NA
"968912",NA,NA,NA,NA
"962195",NA,NA,NA,NA
"889471",NA,NA,NA,NA
"961591",NA,NA,NA,NA
"965644",NA,NA,NA,NA
"968210",NA,NA,NA,NA
"963831",NA,NA,NA,NA
"949954","2014-11852","DID KNOWINGLY ASSOCIATE WITH A PERSON ENGAGED IN CRIMINAL ACTIVITIES.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(20 day(s) )","GUILTY"
"949954","2014-11852","DID MAKE INQUIRIES ON A DEPARTMENT COMPUTER THAT DID NOT RELATE TO THE OFFICIAL BUSINESS OF THE DEPARTMENT.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(20 day(s) )","GUILTY"
"949954","2014-11852","POSTED PHOTOGRAPHS AND VIDEOS OF HERSELF IN UNIFORM ON INTERNET SITES WITHOUT AUTHORIZATION FROM THE DEPARTMENT.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(20 day(s) )","GUILTY"
"967405",NA,NA,NA,NA
"936093",NA,NA,NA,NA
"949835",NA,NA,NA,NA
"934363",NA,NA,NA,NA
"961592",NA,NA,NA,NA
"963833",NA,NA,NA,NA
"950400",NA,NA,NA,NA
"936095",NA,NA,NA,NA
"949957","2017-17167","WHILE OFF-DUTY, FAILED TO SAFEGUARD HIS OFF-DUTY FIREARM RESULTING IN THE ACCIDENTAL DISCHARGE OF SAID FIREARM BY AN INDIVIDUAL KNOWN TO THE DEPARTMENT.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(20 day(s) )","GUILTY"
"949957","2017-17167","WHILE OFF-DUTY, FAILED TO SAFEGUARD HIS OFF-DUTY FIREARM.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(20 day(s) )","GUILTY"
"971299",NA,NA,NA,NA
"973196",NA,NA,NA,NA
"940948",NA,NA,NA,NA
"952380",NA,NA,NA,NA
"973197",NA,NA,NA,NA
"944303",NA,NA,NA,NA
"948585",NA,NA,NA,NA
"932123",NA,NA,NA,NA
"970962",NA,NA,NA,NA
"963834",NA,NA,NA,NA
"965918",NA,NA,NA,NA
"941549",NA,NA,NA,NA
"934364",NA,NA,NA,NA
"973198",NA,NA,NA,NA
"952381",NA,NA,NA,NA
"971779",NA,NA,NA,NA
"937936",NA,NA,NA,NA
"934975",NA,NA,NA,NA
"949958",NA,NA,NA,NA
"948586",NA,NA,NA,NA
"945454",NA,NA,NA,NA
"951477",NA,NA,NA,NA
"964861",NA,NA,NA,NA
"942926",NA,NA,NA,NA
"964859",NA,NA,NA,NA
"967739",NA,NA,NA,NA
"969449",NA,NA,NA,NA
"959780",NA,NA,NA,NA
"937937","2010-2149","FAILED AND NEGLECTED TO PROPERLY SAFEGUARD HIS FIREARM RESULTING IN THE LOSS OF SAID FIREARM.","Case: 1, Penalty: PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(31 day(s) )</i>, VACATION DAYS&nbsp;<i>(10 day(s) )","PLEADED GUILTY"
"937937","2010-2149","FAILED TO IMMEDIATELY NOTIFY THE DEPARTMENT THAT HE LOST HIS SERVICE WEAPON, CANISTER OF O.C. SPRAY, DEPARTMENT RADIO, AND TWO MAGAZINES.","Case: 1, Penalty: PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(31 day(s) )</i>, VACATION DAYS&nbsp;<i>(10 day(s) )","PLEADED GUILTY"
"937937","2010-2149","FAILED AND NEGLECTED TO SAFEGUARD DEPARTMENT PROPERTY IN THAT SAID OFFICER LOST HIS CANISTER OF O.C. SPRAY, DEPARTMENT RADIO, AND TWO MAGAZINES.","Case: 1, Penalty: PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(31 day(s) )</i>, VACATION DAYS&nbsp;<i>(10 day(s) )","PLEADED GUILTY"
"970964",NA,NA,NA,NA
"954459",NA,NA,NA,NA
"962197",NA,NA,NA,NA
"964860",NA,NA,NA,NA
"960124",NA,NA,NA,NA
"951479",NA,NA,NA,NA
"971780",NA,NA,NA,NA
"971781",NA,NA,NA,NA
"956367",NA,NA,NA,NA
"949959",NA,NA,NA,NA
"968913",NA,NA,NA,NA
"959436",NA,NA,NA,NA
"968209",NA,NA,NA,NA
"948587",NA,NA,NA,NA
"937938",NA,NA,NA,NA
"970367",NA,NA,NA,NA
"966417",NA,NA,NA,NA
"969450",NA,NA,NA,NA
"960125",NA,NA,NA,NA
"957313",NA,NA,NA,NA
"945455",NA,NA,NA,NA
"968914",NA,NA,NA,NA
"968915",NA,NA,NA,NA
"907685",NA,NA,NA,NA
"949961",NA,NA,NA,NA
"973199",NA,NA,NA,NA
"931513",NA,NA,NA,NA
"946719",NA,NA,NA,NA
"896914","2010-2873","WHILE OFF-DUTY, DID FAIL AND NEGLECT TO PROPERLY SAFEGUARD HIS SERVICE FIREARM.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(8 day(s) )","PLEADED GUILTY"
"969451",NA,NA,NA,NA
"962911",NA,NA,NA,NA
"971782",NA,NA,NA,NA
"924863",NA,NA,NA,NA
"961593",NA,NA,NA,NA
"963355",NA,NA,NA,NA
"939841",NA,NA,NA,NA
"949964",NA,NA,NA,NA
"934367",NA,NA,NA,NA
"952382",NA,NA,NA,NA
"969452",NA,NA,NA,NA
"963835",NA,NA,NA,NA
"972495",NA,NA,NA,NA
"966923",NA,NA,NA,NA
"970368",NA,NA,NA,NA
"954460",NA,NA,NA,NA
"955705","2019-20011","Improper vehicle pursuit.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(15 day(s) )","GUILTY"
"955705","2019-20011","Improper vehicle pursuit.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(15 day(s) )","GUILTY"
"955705","2019-20011","Improper vehicle pursuit.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(15 day(s) )","GUILTY"
"955705","2019-20011","Failed to activate his body-worn camera.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(15 day(s) )","GUILTY"
"955705","2020-22635","Failed to conduct an investigation.","Case: 2, Penalty: PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(12 day(s) )</i>, VACATION DAYS&nbsp;<i>(13 day(s) )","GUILTY"
"921104",NA,NA,NA,NA
"952383",NA,NA,NA,NA
"960128",NA,NA,NA,NA
"943037",NA,NA,NA,NA
"941312",NA,NA,NA,NA
"927886",NA,NA,NA,NA
"956368",NA,NA,NA,NA
"964357",NA,NA,NA,NA
"954461",NA,NA,NA,NA
"941313",NA,NA,NA,NA
"948140",NA,NA,NA,NA
"964358",NA,NA,NA,NA
"953616",NA,NA,NA,NA
"973200",NA,NA,NA,NA
"966924",NA,NA,NA,NA
"934368",NA,NA,NA,NA
"960129",NA,NA,NA,NA
"929589",NA,NA,NA,NA
"969453",NA,NA,NA,NA
"923946",NA,NA,NA,NA
"933593","2015-14536","SENT THREATENING TEXT MESSAGES TO A PERSON KNOWN TO THE DEPARTMENT.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(10 day(s) )","GUILTY"
"933593","2015-14536","CAUSED UNAUTHORIZED DEPARTMENT COMPUTER INQUIRIES TO BE MADE THAT WERE NOT RELATED TO OFFICIAL DEPARTMENT BUSINESS.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(10 day(s) )","GUILTY"
"955706",NA,NA,NA,NA
"958214",NA,NA,NA,NA
"968916",NA,NA,NA,NA
"961485",NA,NA,NA,NA
"936668","2010-2351","WHILE OFF-DUTY, FAILED TO PROMPTLY NOTIFY OPERATIONS UNIT AFTER WITNESSING A POLICE INCIDENT .","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(30 day(s) )","GUILTY"
"936668","2010-2351","RESPONDENT DID LEAVE HER OFF-DUTY FIREARM INSIDE OF AN UNATTENDED VEHICLE.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(30 day(s) )","GUILTY"
"939842","2010-2352","AFTER BEING INVOLVED IN A POLICE INCIDENT, FAILED TO PROMPTLY NOTIFY THE OPERATIONS UNIT.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(45 day(s) )","GUILTY"
"939842","2010-2352","DID NOT IDENTIFY HIMSELF AS AN MOS TO A NEW YORK STATE TROOPER.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(45 day(s) )","GUILTY"
"939842","2010-2352","WRONGFULLY INTERFERED WITH A UNITED STATES PARK RANGER'S INVESTIGATION.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(45 day(s) )","GUILTY"
"939842","2010-2352","MADE A DISCOURTEOUS STATEMENT TO A UNITED STATES PARK RANGER.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(45 day(s) )","GUILTY"
"939842","2010-2352","FAILED TO OBEY A LAWFUL COMMAND FROM A UNITED STATES PARK RANGER.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(45 day(s) )","GUILTY"
"939842","2015-13400","WHILE ON-DUTY, WAS DISCOURTEOUS TO A PERSON KNOWN TO THE DEPARTMENT","Case: 2, Penalty: VACATION DAYS&nbsp;<i>(10 day(s) )","GUILTY"
"939842","2015-13400","WHILE ON-DUTY, WAS DISCOURTEOUS TO A PERSON KNOWN TO THE DEPARTMENT","Case: 2, Penalty: VACATION DAYS&nbsp;<i>(10 day(s) )","GUILTY"
"939842","2015-13400","WHILE ON-DUTY, WAS DISCOURTEOUS TO A PERSON KNOWN TO THE DEPARTMENT","Case: 2, Penalty: VACATION DAYS&nbsp;<i>(10 day(s) )","GUILTY"
"939842","2015-13400","WHILE ON-DUTY, CAUSED A SUMMONS TO BE ISSUED TO A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY","Case: 2, Penalty: VACATION DAYS&nbsp;<i>(10 day(s) )","GUILTY"
"941315",NA,NA,NA,NA
"948590",NA,NA,NA,NA
"959437",NA,NA,NA,NA
"965919",NA,NA,NA,NA
"963356",NA,NA,NA,NA
"964862",NA,NA,NA,NA
"941328",NA,NA,NA,NA
"959438",NA,NA,NA,NA
"956370",NA,NA,NA,NA
"966925",NA,NA,NA,NA
"967406",NA,NA,NA,NA
"898880",NA,NA,NA,NA
"929591",NA,NA,NA,NA
"959439",NA,NA,NA,NA
"921895",NA,NA,NA,NA
"932238",NA,NA,NA,NA
"919974",NA,NA,NA,NA
"937942",NA,NA,NA,NA
"937943",NA,NA,NA,NA
"969454",NA,NA,NA,NA
"964359",NA,NA,NA,NA
"937946",NA,NA,NA,NA
"964863",NA,NA,NA,NA
"949966",NA,NA,NA,NA
"959440",NA,NA,NA,NA
"942927",NA,NA,NA,NA
"926476",NA,NA,NA,NA
"953617",NA,NA,NA,NA
"929496",NA,NA,NA,NA
"905654",NA,NA,NA,NA
"945457",NA,NA,NA,NA
"926477",NA,NA,NA,NA
"945458",NA,NA,NA,NA
"931514",NA,NA,NA,NA
"936966",NA,NA,NA,NA
"924841",NA,NA,NA,NA
"971784",NA,NA,NA,NA
"962930",NA,NA,NA,NA
"946662",NA,NA,NA,NA
"961486",NA,NA,NA,NA
"919976",NA,NA,NA,NA
"948591",NA,NA,NA,NA
"958215",NA,NA,NA,NA
"958216",NA,NA,NA,NA
"960130",NA,NA,NA,NA
"946436",NA,NA,NA,NA
"934370",NA,NA,NA,NA
"965920",NA,NA,NA,NA
"968918",NA,NA,NA,NA
"959441",NA,NA,NA,NA
"943995",NA,NA,NA,NA
"931452",NA,NA,NA,NA
"958218",NA,NA,NA,NA
"961594",NA,NA,NA,NA
"936098",NA,NA,NA,NA
"929653","2015-14952","FAILURE TO SUPERVISE.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(20 day(s) )","NOLO CONTENDRE"
"929653","2015-14952","FAILURE TO SUPERVISE.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(20 day(s) )","NOLO CONTENDRE"
"929653","2015-14952","FAILURE TO TAKE POLICE ACTION.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(20 day(s) )","NOLO CONTENDRE"
"929653","2015-14952","FAILURE TO TAKE POLICE ACTION.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(20 day(s) )","NOLO CONTENDRE"
"954463",NA,NA,NA,NA
"962199",NA,NA,NA,NA
"966418",NA,NA,NA,NA
"949968",NA,NA,NA,NA
"962200",NA,NA,NA,NA
"949969","2017-16850","WHILE ON-DUTY, SAID POLICE OFFICER IMPROPERLY POINTED A FIREARM AT A PERSON KNOWN TO THE DEPARTMENT","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(15 day(s) )","GUILTY"
"952384",NA,NA,NA,NA
"952385",NA,NA,NA,NA
"970369",NA,NA,NA,NA
"969455",NA,NA,NA,NA
"961595",NA,NA,NA,NA
"953619",NA,NA,NA,NA
"941316",NA,NA,NA,NA
"947703",NA,NA,NA,NA
"941317",NA,NA,NA,NA
"955072","2015-14484","WHILE ON-DUTY, WRONGFULLY USED FORCE AGAINST A PERSON KNOWN TO THE DEPARTMENT.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(7 day(s) )","GUILTY"
"969456",NA,NA,NA,NA
"933594",NA,NA,NA,NA
"948592",NA,NA,NA,NA
"957315",NA,NA,NA,NA
"949971",NA,NA,NA,NA
"934818",NA,NA,NA,NA
"889483",NA,NA,NA,NA
"958220",NA,NA,NA,NA
"952386",NA,NA,NA,NA
"970965",NA,NA,NA,NA
"969457",NA,NA,NA,NA
"968919",NA,NA,NA,NA
"947964",NA,NA,NA,NA
"941318",NA,NA,NA,NA
"954464",NA,NA,NA,NA
"944306",NA,NA,NA,NA
"961596","2020-21684","Failed to notify the radio dispatcher about a vehicle pursuit.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(45 day(s) )","GUILTY"
"961596","2020-21684","Failed to make required entries in Activity Log.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(45 day(s) )","GUILTY"
"961596","2020-21684","Failed to activate body-worn camera.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(45 day(s) )","GUILTY"
"961596","2020-21684","Made inaccurate statements during an official Department interview.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(45 day(s) )","GUILTY"
"961596","2020-21684","Failed to notify a radio dispatcher regarding the termination of a vehicle pursuit.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(45 day(s) )","GUILTY"
"944936",NA,NA,NA,NA
"934371",NA,NA,NA,NA
"937949",NA,NA,NA,NA
"961597",NA,NA,NA,NA
"937950",NA,NA,NA,NA
"966926",NA,NA,NA,NA
"954465",NA,NA,NA,NA
"971786",NA,NA,NA,NA
"962912",NA,NA,NA,NA
"941319","2015-13900","FAILED TO SUPERVISE HIS SUBORDINATES AND ENSURE THAT A COMPLAINT REPORT WAS PREPARED FOR AN ALLEGED ASSAULT.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(20 day(s) )","GUILTY"
"941319","2015-13900","FAILED TO NOTIFY PLATOON COMMANDER/DESK OFFICER OF ALLEGED ASSAULT OR REFER ASSAULT TO PRECINCT DETECTIVE SQUAD FOR FURTHER INVESTIGATION.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(20 day(s) )","GUILTY"
"942930",NA,NA,NA,NA
"951481",NA,NA,NA,NA
"934372",NA,NA,NA,NA
"967740",NA,NA,NA,NA
"949972",NA,NA,NA,NA
"971302",NA,NA,NA,NA
"963837",NA,NA,NA,NA
"934373","2016-16217","WHILE OFF-DUTY, DID WRONGFULLY OPERATE A MOTOR VEHICLE WHILE UNDER THE INFLUENCE OF AN INTOXICANT.","Case: 1, Penalty: COUNSELING, DISMISSAL PROBATION&nbsp;<i>(12 month(s) )</i>, ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(31 day(s) )</i>, VACATION DAYS&nbsp;<i>(19 day(s) )","GUILTY"
"934373","2016-16217","WHILE OFF-DUTY, DID WRONGFULLY OPERATE A MOTOR VEHICLE WHILE HIS ABILITY WAS IMPAIRED BY AN INTOXICANT.","Case: 1, Penalty: COUNSELING, DISMISSAL PROBATION&nbsp;<i>(12 month(s) )</i>, ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(31 day(s) )</i>, VACATION DAYS&nbsp;<i>(19 day(s) )","GUILTY"
"934373","2016-16217","WHILE OFF-DUTY, REFUSED TO SUBMIT TO A CHEMICAL BREATH TEST.","Case: 1, Penalty: COUNSELING, DISMISSAL PROBATION&nbsp;<i>(12 month(s) )</i>, ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(31 day(s) )</i>, VACATION DAYS&nbsp;<i>(19 day(s) )","GUILTY"
"934373","2016-16217","WHILE OFF-DUTY, DID CONSUME AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY.","Case: 1, Penalty: COUNSELING, DISMISSAL PROBATION&nbsp;<i>(12 month(s) )</i>, ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(31 day(s) )</i>, VACATION DAYS&nbsp;<i>(19 day(s) )","GUILTY"
"934373","2016-16217","WHILE OFF-DUTY, DID CONSUME AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY WHILE ARMED.","Case: 1, Penalty: COUNSELING, DISMISSAL PROBATION&nbsp;<i>(12 month(s) )</i>, ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(31 day(s) )</i>, VACATION DAYS&nbsp;<i>(19 day(s) )","GUILTY"
"934373","2016-16217","WHILE OFF-DUTY, IMPROPERLY CARRIED AN UNAUTHORIZED FIREARM.","Case: 1, Penalty: COUNSELING, DISMISSAL PROBATION&nbsp;<i>(12 month(s) )</i>, ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(31 day(s) )</i>, VACATION DAYS&nbsp;<i>(19 day(s) )","GUILTY"
"965646",NA,NA,NA,NA
"934374",NA,NA,NA,NA
"945459",NA,NA,NA,NA
"955129",NA,NA,NA,NA
"926532",NA,NA,NA,NA
"969458",NA,NA,NA,NA
"972498",NA,NA,NA,NA
"962913",NA,NA,NA,NA
"961598",NA,NA,NA,NA
"965647",NA,NA,NA,NA
"970966",NA,NA,NA,NA
"967407",NA,NA,NA,NA
"969459",NA,NA,NA,NA
"951482",NA,NA,NA,NA
"941320",NA,NA,NA,NA
"948593",NA,NA,NA,NA
"968211",NA,NA,NA,NA
"953620",NA,NA,NA,NA
"961599",NA,NA,NA,NA
"933595",NA,NA,NA,NA
"957317",NA,NA,NA,NA
"966419",NA,NA,NA,NA
"954337",NA,NA,NA,NA
"939845",NA,NA,NA,NA
"957318",NA,NA,NA,NA
"966927",NA,NA,NA,NA
"971787",NA,NA,NA,NA
"959444",NA,NA,NA,NA
"956371",NA,NA,NA,NA
"964361",NA,NA,NA,NA
"970371",NA,NA,NA,NA
"965921",NA,NA,NA,NA
"967741",NA,NA,NA,NA
"939846",NA,NA,NA,NA
"915218",NA,NA,NA,NA
"973201",NA,NA,NA,NA
"941321",NA,NA,NA,NA
"936104",NA,NA,NA,NA
"963839",NA,NA,NA,NA
"960131",NA,NA,NA,NA
"964362",NA,NA,NA,NA
"962202",NA,NA,NA,NA
"942360",NA,NA,NA,NA
"972499",NA,NA,NA,NA
"939847",NA,NA,NA,NA
"960132",NA,NA,NA,NA
"963357",NA,NA,NA,NA
"971303",NA,NA,NA,NA
"960133",NA,NA,NA,NA
"969460",NA,NA,NA,NA
"958222",NA,NA,NA,NA
"968920",NA,NA,NA,NA
"967742",NA,NA,NA,NA
"969461",NA,NA,NA,NA
"970372",NA,NA,NA,NA
"958223",NA,NA,NA,NA
"973202",NA,NA,NA,NA
"968213",NA,NA,NA,NA
"971304",NA,NA,NA,NA
"962914",NA,NA,NA,NA
"972331",NA,NA,NA,NA
"952389",NA,NA,NA,NA
"966420",NA,NA,NA,NA
"958224",NA,NA,NA,NA
"965648",NA,NA,NA,NA
"948457",NA,NA,NA,NA
"939848",NA,NA,NA,NA
"967408",NA,NA,NA,NA
"964864",NA,NA,NA,NA
"969462",NA,NA,NA,NA
"971305",NA,NA,NA,NA
"959446",NA,NA,NA,NA
"969463",NA,NA,NA,NA
"933596",NA,NA,NA,NA
"947965",NA,NA,NA,NA
"973203",NA,NA,NA,NA
"971788",NA,NA,NA,NA
"972500",NA,NA,NA,NA
"953622",NA,NA,NA,NA
"961600",NA,NA,NA,NA
"964865",NA,NA,NA,NA
"941323",NA,NA,NA,NA
"940950",NA,NA,NA,NA
"968214",NA,NA,NA,NA
"949973","2015-13527","WHILE ON-DUTY, ENGAGED IN PROHIBITED CONDUCT RESULTING IN INJURY.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(25 day(s) )","PLEADED GUILTY"
"957319",NA,NA,NA,NA
