Ticket_Number,O_Violation_Location_Borough,O_Violation_Location_Block_No.,O_Violation_Location_Lot_No,O_Violation_Location_House_No.,O_Violation_Location_Street_Name,O_Violation_Location_City,O_Violation_Location_Zip_Code,O_Violation_Location_State_Name,Category (Gemini),Revised_Address (Gemini)
197844323,MANHATTAN,.,.,.,AVE D EAST HOUSTON,NEW YORK,.,NEW YORK,Insufficient Information,AVE D EAST HOUSTON
197872510,MANHATTAN,.,.,.,CORNER OF VARICK ST VAN DAM,NEW YORK,.,NEW YORK,Intersection,VARICK ST AND VAN DAM
197872786,MANHATTAN,231,30,459,BROADWAY,NEW YORK,10013,NEW YORK,Full Address,459 BROADWAY
197880091,MANHATTAN,.,.,.,CHRYSTIE ST GRAND ST,NEW YORK,.,NEW YORK,Intersection,CHRYSTIE ST AND GRAND ST
197881119,MANHATTAN,.,.,.,MOTT ST CANAL ST,NEW YORK,.,NEW YORK,Intersection,MOTT ST AND CANAL ST
197889560,MANHATTAN,.,.,.,LAFAYETTE ST LEONARD ST,NEW YORK,.,NEW YORK,Intersection,LAFAYETTE ST AND LEONARD ST
197899076,MANHATTAN,.,.,.,W 35 6 AVENUE,NEW YORK,.,NEW YORK,Intersection,W 35 ST AND 6 AVENUE
197936063,MANHATTAN,1069,7501,555,10 AVENUE,NEW YORK,10018,NEW YORK,Full Address,555 10 AVENUE
197961895,MANHATTAN,1086,30,877,10 AVENUE,NEW YORK,10019,NEW YORK,Full Address,877 10 AVENUE
197961904,MANHATTAN,1086,30,877,10 AVENUE,NEW YORK,10019,NEW YORK,Full Address,877 10 AVENUE
197968266,MANHATTAN,.,.,.,N E C OF WEST 46 ST 11 AVE,NEW YORK,.,NEW YORK,Intersection,N E C OF WEST 46 ST AND 11 AVE
197969402,MANHATTAN,1086,30,877,10 AVENUE,NEW YORK,10019,NEW YORK,Full Address,877 10 AVENUE
197998662,MANHATTAN,.,.,302,WEST 30 STREET,NEW YORK,10001,NEW YORK,Full Address,302 WEST 30 STREET
197998671,MANHATTAN,754,40,411,8 AVENUE,NEW YORK,10001,NEW YORK,Full Address,411 8 AVENUE
198004070,MANHATTAN,998,26,109,WEST 45 STREET,NEW YORK,10036,NEW YORK,Full Address,109 WEST 45 STREET
198012064,MANHATTAN,745,53,328,WEST 22 STREET,NEW YORK,10011,NEW YORK,Full Address,328 WEST 22 STREET
198012248,MANHATTAN,.,.,.,W 29 ST 12 AVE,NEW YORK,.,NEW YORK,Intersection,W 29 ST AND ST 12 AVE
198030609,MANHATTAN,.,.,.,N W CO 50 STREET 1 AVENUE,NEW YORK,.,NEW YORK,Intersection,N W CO 50 STREET AND 1 AVENUE
198036567,MANHATTAN,.,.,.,EAST 59 ST LEXINGTON AVE,NEW YORK,.,NEW YORK,Intersection,EAST 59 ST AND ST LEXINGTON AVE
198068622,MANHATTAN,239,14,223,GRAND STREET,NEW YORK,10013,NEW YORK,Full Address,223 GRAND STREET
198083930,MANHATTAN,614,42,247,WEST 11 STREET,NEW YORK,10014,NEW YORK,Full Address,247 WEST 11 STREET
198092768,MANHATTAN,.,.,.,CHAMBERS CHURCH ST,NEW YORK,.,NEW YORK,Insufficient Information,CHAMBERS CHURCH ST
198094088,MANHATTAN,.,.,.,I O WARREN ST GREENWICH ST,NEW YORK,.,NEW YORK,Intersection,WARREN ST AND GREENWICH ST
198096360,MANHATTAN,.,.,.,I O WEST ST VESEY ST,NEW YORK,.,NEW YORK,Intersection,WEST ST AND VESEY ST
198100440,MANHATTAN,450,39,71,ST MARKS PLACE,NEW YORK,10003,NEW YORK,Full Address,71 ST MARKS PLACE
198116418,MANHATTAN,.,.,.,N W C O E 20 ST 3RD AVE,NEW YORK,.,NEW YORK,Intersection,E 20 ST AND ST 3RD AVE
198164533,MANHATTAN,.,.,.,E 49 ST 2 AVE,NEW YORK,.,NEW YORK,Intersection,E 49 ST AND ST 2 AVE
198164542,NOT NYC,.,.,.,E 38 ST 2 AVE,.,.,NEW YORK,Intersection,E 38 ST AND ST 2 AVE
198167980,MANHATTAN,1348,49,1050,2 AVENUE,NEW YORK,10022,NEW YORK,Full Address,1050 2 AVENUE
198168511,MANHATTAN,.,.,.,N W C O EAST 58 1 AVE,NEW YORK,.,NEW YORK,Intersection,EAST 58 ST AND 1 AVE
198169850,MANHATTAN,.,.,.,1ST AVE E 57 STREET,NEW YORK,.,NEW YORK,Intersection,1ST AVE AND E 57 STREET
198169869,MANHATTAN,.,.,.,E 45 STREET AND 1ST AVENUE,NEW YORK,.,NEW YORK,Intersection,E 45 STREET AND 1ST AVENUE
198171775,MANHATTAN,.,.,.,S W C O W 40 10 AVE,NEW YORK,.,NEW YORK,Intersection,W 40 ST AND 10 AVE
198203648,MANHATTAN,.,.,.,W 27 ST 5 AVE,NEW YORK,.,NEW YORK,Intersection,W 27 ST AND ST 5 AVE
198204198,MANHATTAN,.,.,.,I O 7 AVENUE WEST 26 STREET,NEW YORK,.,NEW YORK,Insufficient Information,7 AVENUE WEST 26 STREET
198221495,MANHATTAN,.,.,.,C O W 52ND ST 11TH AVENUE,NEW YORK,.,NEW YORK,Intersection,W 52ND ST AND 11TH AVENUE
198226894,MANHATTAN,.,.,.,W 54 ST 12 AVENUE,NEW YORK,.,NEW YORK,Intersection,W 54 ST AND ST 12 AVENUE
198235346,MANHATTAN,.,.,.,ST NICHOLAS AVE WEST 177 STR,NEW YORK,.,NEW YORK,Intersection,ST NICHOLAS AVE AND WEST 177 STR
198272398,MANHATTAN,1821,31,21,LENOX AVENUE,NEW YORK,10026,NEW YORK,Full Address,21 LENOX AVENUE
198292390,MANHATTAN,1723,1,302,LENOX AVENUE,NEW YORK,10027,NEW YORK,Full Address,302 LENOX AVENUE
198292409,MANHATTAN,.,.,.,WEST 124 ST LENOX AVE,NEW YORK,.,NEW YORK,Intersection,WEST 124 ST AND ST LENOX AVE
198345988,MANHATTAN,.,.,.,WEST 145 STREET BROADWAY,NEW YORK,.,NEW YORK,Intersection,WEST 145 ST AND STREET BROADWAY
198367016,MANHATTAN,.,.,.,WEST 202 STREET AND 9TH AVEN,NEW YORK,.,NEW YORK,Intersection,WEST 202 STREET AND 9TH AVEN
198367025,MANHATTAN,.,.,.,WEST 202 STREET AND 9TH AVEN,NEW YORK,.,NEW YORK,Intersection,WEST 202 STREET AND 9TH AVEN
198394956,MANHATTAN,.,.,.,SHERMAN AVE ARDEN ST,NEW YORK,.,NEW YORK,Intersection,SHERMAN AVE AND ARDEN ST
198404068,MANHATTAN,1147,56,166,WEST 76 STREET,NEW YORK,10023,NEW YORK,Full Address,166 WEST 76 STREET
198420063,MANHATTAN,1982,49,15,OLD BROADWAY,NEW YORK,10027,NEW YORK,Full Address,15 OLD BROADWAY
198421787,MANHATTAN,.,.,.,ST NICHOLAS AVE WEST 130 ST,NEW YORK,.,NEW YORK,Intersection,ST NICHOLAS AVE AND WEST 130 ST
198423318,BRONX,.,.,1413,AMSTERDAM AVE,BRONX,.,NEW YORK,Full Address,1413 AMSTERDAM AVE
198423592,MANHATTAN,1982,17,515,WEST 125 STREET,NEW YORK,10027,NEW YORK,Full Address,515 WEST 125 STREET
198433941,MANHATTAN,.,.,.,S W C O AMSTERDAM W 145 ST,NEW YORK,.,NEW YORK,Insufficient Information,AMSTERDAM W 145 ST
198433950,MANHATTAN,.,.,.,N E C O BROADWAY W 148TH ST,NEW YORK,.,NEW YORK,Intersection,BROADWAY AND W 148TH ST
198440303,MANHATTAN,.,.,.,ST NICHOLAS AVENUE W 127 STR,NEW YORK,.,NEW YORK,Insufficient Information,ST NICHOLAS AVENUE W 127 STR
198457582,MANHATTAN,.,.,.,SW C O 3 AV E 66 ST,NEW YORK,.,NEW YORK,Intersection,SW AND 3 AV E 66 ST
198459737,MANHATTAN,.,.,.,EAST 72 STREET YORK AVENUE N,NEW YORK,.,NEW YORK,Intersection,EAST 72 ST AND STREET YORK AVENUE N
198461414,MANHATTAN,.,.,.,E 69 ST 2 AVE,NEW YORK,.,NEW YORK,Intersection,E 69 ST AND ST 2 AVE
198461432,MANHATTAN,.,.,.,EAST 72 STREET 3 AVENUE,NEW YORK,.,NEW YORK,Intersection,EAST 72 ST AND STREET 3 AVENUE
198461460,MANHATTAN,.,.,.,E 69 ST 2 AVE,NEW YORK,.,NEW YORK,Intersection,E 69 ST AND ST 2 AVE
198473918,MANHATTAN,.,.,.,N E CORNER ON EAST END AVE E,NEW YORK,.,NEW YORK,Intersection,N E CORNER ON EAST END AVE AND E
198493489,MANHATTAN,.,.,.,I O W 144 BROADWAY,NEW YORK,.,NEW YORK,Intersection,W 144 ST AND BROADWAY
198517110,MANHATTAN,2139,1,177,FT WASHINGTON AVENUE,NEW YORK,10032,NEW YORK,Full Address,177 FT WASHINGTON AVENUE
198517330,MANHATTAN,.,.,.,W 174 ST AUDUBON AV,NEW YORK,.,NEW YORK,Intersection,W 174 ST AND ST AUDUBON AV
198518650,MANHATTAN,2132,47,500,WEST 177 STREET,NEW YORK,10033,NEW YORK,Full Address,500 WEST 177 STREET
198522446,MANHATTAN,.,.,.,E 81 ST 5 AVE,NEW YORK,.,NEW YORK,Intersection,E 81 ST AND ST 5 AVE
198540870,MANHATTAN,.,.,270,ST NICH AVE,NEW YORK,.,NEW YORK,Full Address,270 ST NICH AVE
198545299,MANHATTAN,.,.,164,WEST 116 STRREET,NEW YORK,.,NEW YORK,Full Address,164 WEST 116 STRREET
198546087,MANHATTAN,.,.,.,LENOX AVE I O WEST 125 ST,NEW YORK,.,NEW YORK,Intersection,LENOX AVE AND WEST 125 ST
198549450,MANHATTAN,.,.,319,WEST 125 STREET,NEW YORK,10027,NEW YORK,Full Address,319 WEST 125 STREET
198556701,BRONX,2607,32,1064,FRANKLIN AVENUE,BRONX,10456,NEW YORK,Full Address,1064 FRANKLIN AVENUE
198585916,MANHATTAN,.,.,.,W B E 109 ST ON S B 5 AVE,NEW YORK,.,NEW YORK,Intersection,E 109 ST AND ST ON S B 5 AVE
198585925,MANHATTAN,.,.,.,2 AVENUE EAST 97 ST,NEW YORK,.,NEW YORK,Insufficient Information,2 AVENUE EAST 97 ST
198589142,MANHATTAN,.,.,.,N W C O 3 AVE E 110 ST,NEW YORK,.,NEW YORK,Intersection,3 AVE AND E 110 ST
198589151,MANHATTAN,462,25,113,2 AVENUE,NEW YORK,10003,NEW YORK,Full Address,113 2 AVENUE
198594368,MANHATTAN,.,.,.,NE C O LEXINGTON AVENUE EAST,NEW YORK,.,NEW YORK,Intersection,NE AND LEXINGTON AVENUE EAST
198619713,MANHATTAN,1949,48,541,MANHATTAN AVENUE,NEW YORK,10027,.,Full Address,541 MANHATTAN AVENUE
198623866,MANHATTAN,.,.,1045,ST NICHOLAS AVENUE,NEW YORK,10032,NEW YORK,Full Address,1045 ST NICHOLAS AVENUE
198652310,MANHATTAN,.,.,.,S E C O WEST 145 STREET LENO,NEW YORK,.,NEW YORK,Intersection,WEST 145 ST AND STREET LENO
198652502,MANHATTAN,.,.,.,S E C O WEST 145 STREET LENO,NEW YORK,.,NEW YORK,Intersection,WEST 145 ST AND STREET LENO
198659405,BRONX,.,.,.,N B TIFFANY ST LAFAYETTE AVE,BRONX,.,NEW YORK,Intersection,TIFFANY ST AND LAFAYETTE AVE
198672156,MANHATTAN,.,.,.,2ND AVE E 101 ST,NEW YORK,.,NEW YORK,Intersection,2ND AVE AND E 101 ST
198703010,MANHATTAN,.,.,40,SAINT NICHOLAS,NEW YORK,.,NEW YORK,Full Address,40 SAINT NICHOLAS
198705816,MANHATTAN,1927,55,240,WEST 122 STREET,NEW YORK,10027,NEW YORK,Full Address,240 WEST 122 STREET
198705825,MANHATTAN,1928,61,2288,8 AVENUE,NEW YORK,10027,NEW YORK,Full Address,2288 8 AVENUE
198705834,MANHATTAN,.,.,.,W 126 ST ST NICK AVE,NEW YORK,.,NEW YORK,Intersection,W 126 ST AND ST ST NICK AVE
198706339,MANHATTAN,1946,29,2217,8 AVENUE,NEW YORK,10026,NEW YORK,Full Address,2217 8 AVENUE
198706348,MANHATTAN,1949,29,2271,8 AVENUE,NEW YORK,10027,NEW YORK,Full Address,2271 8 AVENUE
198706357,MANHATTAN,.,.,2217,8 AVENUE,NEW YORK,10026,NEW YORK,Full Address,2217 8 AVENUE
198706366,MANHATTAN,.,.,2217,8 AVENUE,NEW YORK,10026,NEW YORK,Full Address,2217 8 AVENUE
198706458,NOT NYC,.,.,2071,7TH,.,.,NEW YORK,Full Address,2071 7TH
198706797,MANHATTAN,1723,1,302,LENOX AVENUE,NEW YORK,10027,NEW YORK,Full Address,302 LENOX AVENUE
198706806,MANHATTAN,1723,69,310,LENOX AVENUE,NEW YORK,10027,NEW YORK,Full Address,310 LENOX AVENUE
198706824,MANHATTAN,1908,37,108,WEST 124 STREET,NEW YORK,10027,NEW YORK,Full Address,108 WEST 124 STREET
198706833,MANHATTAN,1908,7502,138,WEST 124 STREET,NEW YORK,10027,NEW YORK,Full Address,138 WEST 124 STREET
198713278,MANHATTAN,.,.,.,W 166 ST ST NICHOLAS,NEW YORK,.,NEW YORK,Intersection,W 166 ST AND ST ST NICHOLAS
198716825,MANHATTAN,2126,46,501,WEST 169 STREET,NEW YORK,10032,NEW YORK,Full Address,501 WEST 169 STREET
198717036,MANHATTAN,.,.,2027,AMSTERDAM AVENUE,NEW YORK,10032,NEW YORK,Full Address,2027 AMSTERDAM AVENUE
198729264,STATEN IS,.,.,.,WILLOWBROOK RD WATCHOGUE,STATEN ISLAND,.,NEW YORK,Intersection,WILLOWBROOK RD AND WATCHOGUE
198729273,STATEN IS,.,.,119,RICHMOND HILL ROAD,STATEN ISLAND,10314,NEW YORK,Full Address,119 RICHMOND HILL ROAD
198737725,STATEN IS,.,.,.,JEWETT AVE POST AVE,STATEN ISLAND,.,NEW YORK,Intersection,JEWETT AVE AND POST AVE
198750889,STATEN IS,.,.,.,NB WILLOWBROOK RD VICTORY BL,STATEN ISLAND,.,NEW YORK,Intersection,WILLOWBROOK RD AND VICTORY BL
198787986,STATEN IS,.,.,.,AMBOY ROAD BAYVIEW AVE,STATEN ISLAND,.,NEW YORK,Intersection,AMBOY ROAD AND BAYVIEW AVE
198818328,NOT NYC,.,.,.,I O BAY ST AND CANAL ST,.,.,NEW YORK,Intersection,BAY ST AND CANAL ST
198839383,STATEN IS,595,15,496,HOWARD AVENUE,STATEN ISLAND,10301,NEW YORK,Full Address,496 HOWARD AVENUE
198876096,STATEN IS,.,.,.,HARRISON AVE PORT RICHMOND A,STATEN ISLAND,.,NEW YORK,Intersection,HARRISON AVE AND PORT RICHMOND A
198876646,STATEN IS,.,.,.,I O N B RICHMOND AVE FOREST,STATEN ISLAND,.,NEW YORK,Intersection,RICHMOND AVE AND FOREST
198909408,STATEN IS,.,.,.,HYLAN BLVD ARMSTRONG AVE,STATEN ISLAND,.,NEW YORK,Intersection,HYLAN BLVD AND ARMSTRONG AVE
198915265,STATEN IS,.,.,1,RICHMOND TERRACE,STATEN ISLAND,10301,NEW YORK,Full Address,1 RICHMOND TERRACE
198923102,QUEENS,.,.,.,METROPOLITAN 73 PL,QUEENS,.,NEW YORK,Insufficient Information,METROPOLITAN 73 PL
198923607,QUEENS,.,.,.,CYPRESS AVE I O WOODBINE ST,QUEENS,.,NEW YORK,Intersection,CYPRESS AVE AND WOODBINE ST
198948081,NOT NYC,.,.,103-14,ROOSEVELT AVE,.,.,NEW YORK,Full Address,103-14 ROOSEVELT AVE
198958129,QUEENS,.,.,.,BROADWAY 21 ST,QUEENS,.,NEW YORK,Intersection,BROADWAY AND 21 ST
198961319,QUEENS,.,.,.,60 STREET ROOSEVELT AVENUE,QUEENS,.,NEW YORK,Intersection,60 STREET AND ROOSEVELT AVENUE
198961997,QUEENS,.,.,.,39 ST 43 AVE,QUEENS,.,NEW YORK,Intersection,39 ST AND 43 AVE
198963032,QUEENS,.,.,.,S W C O 58 ST QUEENS BLVD,QUEENS,.,NEW YORK,Intersection,58 ST AND QUEENS BLVD
198969751,QUEENS,.,.,.,51 ST AND ROOSEVELT AVE,QUEENS,.,NEW YORK,Intersection,51 ST AND ROOSEVELT AVE
198970934,QUEENS,.,.,.,69 STREET 32 AVENUE,QUEENS,.,NEW YORK,Intersection,69 STREET AND 32 AVENUE
198973390,QUEENS,.,.,95-12A,35 AVENUE,JACKSON HEIGHTS,11372,NEW YORK,Full Address,95-12A 35 AVENUE
198976645,QUEENS,.,.,.,35 AVE 74 ST S W CORNER,QUEENS,.,NEW YORK,Intersection,35 AVE AND 74 ST
198979422,QUEENS,.,.,.,75 ST ROOSEVELT AVE,QUEENS,.,NEW YORK,Intersection,75 ST AND ROOSEVELT AVE
198979808,QUEENS,1436,32,88-11,34 AVENUE,JACKSON HEIGHTS,11372,NEW YORK,Full Address,88-11 34 AVENUE
198981586,QUEENS,1490,18,79-11,41 AVENUE,ELMHURST,11373,NEW YORK,Full Address,79-11 41 AVENUE
198987122,QUEENS,1489,7501,78-14,ROOSEVELT AVENUE,JACKSON HEIGHTS,11372,NEW YORK,Full Address,78-14 ROOSEVELT AVENUE
198987580,QUEENS,.,.,.,HOFFMAN DRIVE 57 AVENUE,QUEENS,.,NEW YORK,Intersection,HOFFMAN DRIVE AND 57 AVENUE
198988745,QUEENS,1974,24,40-40,NATIONAL STREET,CORONA,11368,NEW YORK,Full Address,40-40 NATIONAL STREET
199000111,QUEENS,.,.,.,W B NORTHERN BLVD AT LIE,QUEENS,.,NEW YORK,Intersection,NORTHERN BLVD AND LIE
199002798,QUEENS,.,.,.,S E CORNER OF 192 STREET AND,QUEENS,.,NEW YORK,Intersection,S E CORNER OF 192 STREET AND AND
199003760,QUEENS,.,.,.,S E C O JOHN F KENNEDY CIR 6,QUEENS,.,NEW YORK,Insufficient Information,JOHN F KENNEDY CIR 6
199008774,QUEENS,.,.,.,E B HORACE HARDING EXPY AT M,QUEENS,.,NEW YORK,Intersection,HORACE HARDING EXPY AND M
199009728,QUEENS,.,.,.,45 AVE CORPORAL KENNEDY ST,QUEENS,.,NEW YORK,Intersection,45 AVE AND CORPORAL KENNEDY ST
