Ticket_Number,O_Violation_Location_Borough,O_Violation_Location_Block_No.,O_Violation_Location_Lot_No,O_Violation_Location_House_No.,O_Violation_Location_Street_Name,O_Violation_Location_City,O_Violation_Location_Zip_Code,O_Violation_Location_State_Name,Category (Gemini),Revised_Address (Gemini),Updated_Address,Ticket used,,,,,,,,,,,,,
200210369,BROOKLYN,.,.,.,AVENUE X EAST 7 ST,BROOKLYN,.,NEW YORK,Insufficient Information,AVENUE X EAST 7 ST,E 7th St & Ave. X,TRUE,,,,,,,,,,,,,
200229069,BROOKLYN,.,.,.,S E C O AVE L E 102 STREET,BROOKLYN,.,NEW YORK,Insufficient Information,AVE L E 102 STREET,Avenue L & E 102nd St,FALSE,,,,,,,,,,,,,
200262270,BROOKLYN,.,.,.,25 AVENUE BATH AVENUE,BROOKLYN,.,NEW YORK,Insufficient Information,25 AVENUE BATH AVENUE,25th Ave & Bath Ave,FALSE,,,,,,,,,,,,,
200285755,BROOKLYN,.,.,.,AVE T E 3 STREET,BROOKLYN,.,NEW YORK,Insufficient Information,AVE T E 3 STREET,Avenue T & E 3rd St,FALSE,,,,,,,,,,,,,
200286781,BROOKLYN,.,.,.,I O AVENUE Y E 27 ST,BROOKLYN,.,NEW YORK,Insufficient Information,AVENUE Y E 27 ST,E 27th St & Ave Y,FALSE,,,,,,,,,,,,,
200343038,BRONX,.,.,.,BRONX RIVER WESTCHESTER,BRONX,.,NEW YORK,Insufficient Information,BRONX RIVER WESTCHESTER,Bronx River Ave & Westchester Ave,FALSE,,,,,,,,,,,,,
200419075,BRONX,.,.,.,DAVIDSON W TREMONT AVE,BRONX,.,NEW YORK,Insufficient Information,DAVIDSON W TREMONT AVE,West Tremont Ave/Davidson Ave,FALSE,,,,,,,,,,,,,
200478329,BRONX,.,.,.,RESERVOIR OVAL WEST TRYON AV,BRONX,.,NEW YORK,Insufficient Information,RESERVOIR OVAL WEST TRYON AV,Reservoir Oval W & Tryon Ave,FALSE,,,,,,,,,,,,,
200618047,BRONX,.,.,.,NELSON AVENUE W 168 ST,BRONX,.,NEW YORK,Insufficient Information,NELSON AVENUE W 168 ST,Nelson Ave & W 168th St,FALSE,,,,,,,,,,,,,
200769535,BRONX,.,.,.,SOUTHERN WESTCHESTER AVE,BRONX,.,NEW YORK,Insufficient Information,SOUTHERN WESTCHESTER AVE,Southern Blvd & Westchester Ave,FALSE,,,,,,,,,,,,,
200887776,BRONX,.,.,.,S W C O WEST KINGBRIDGE RD-U,BRONX,.,NEW YORK,Insufficient Information,WEST KINGBRIDGE RD-U,W Kingsbridge Rd & University Ave,TRUE,,,,,,,,,,,,,
201077728,BROOKLYN,.,.,.,UNION RALPH AVE,BROOKLYN,.,NEW YORK,Insufficient Information,UNION RALPH AVE,Union St & Ralph Ave,FALSE,,,,,,,,,,,,,
201101048,BROOKLYN,.,.,.,PT PITBU THATFORD,BROOKLYN,.,NEW YORK,Insufficient Information,PT PITBU THATFORD,Thatford Ave & Pitkin Ave,TRUE,,,,,,,,,,,,,
201115036,BROOKLYN,.,.,.,FLATBUSH AVENUE EXTENSION WI,BROOKLYN,.,NEW YORK,Insufficient Information,FLATBUSH AVENUE EXTENSION WI,Willoughby St & Flatbush Ave Ext,TRUE,,,,,,,,,,,,,
201175050,BROOKLYN,.,.,.,HOWARD MACDOUGAL ST,BROOKLYN,.,NEW YORK,Insufficient Information,HOWARD MACDOUGAL ST,MacDougal St & Howard Ave,FALSE,,,,,,,,,,,,,
201311541,BROOKLYN,.,.,.,BROOKLYN BERGEN STREET,BROOKLYN,.,NEW YORK,Insufficient Information,BROOKLYN BERGEN STREET,Bergen St & Brooklyn Ave,FALSE,,,,,,,,,,,,,
201443871,BROOKLYN,.,.,.,I O N E GREEN LEWIS,BROOKLYN,.,NEW YORK,Insufficient Information,N E GREEN LEWIS,Lewis Ave & Greene Ave,FALSE,,,,,,,,,,,,,
201461646,BROOKLYN,.,.,.,E B MADISON,BROOKLYN,.,NEW YORK,Insufficient Information,MADISON,Madison St & Marcy Ave,TRUE,,,,,,,,,,,,,
201463570,BROOKLYN,.,.,.,ST ANDREWS PARK KINGSTON HER,BROOKLYN,.,NEW YORK,Insufficient Information,ST ANDREWS PARK KINGSTON HER,Kingston Ave & Herkimer St,TRUE,,,,,,,,,,,,,
201511678,BROOKLYN,.,.,.,OPP 295 MONROE,BROOKLYN,.,NEW YORK,Insufficient Information,OPP 295 MONROE,295 Monroe St,FALSE,,,,,,,,,,,,,
201518599,BROOKLYN,.,.,.,W B GATESSAWOVEN THROOP AVE,BROOKLYN,.,NEW YORK,Insufficient Information,GATESSAWOVEN THROOP AVE,Throop Ave & Gates Ave,TRUE,,,,,,,,,,,,,
201532486,BROOKLYN,.,.,.,SOUTH OXFORD FULTON ST,BROOKLYN,.,NEW YORK,Insufficient Information,SOUTH OXFORD FULTON ST,S Oxford St & Fulton St,FALSE,,,,,,,,,,,,,
201566247,BROOKLYN,.,.,.,I O MALCOLM X DECATUR,BROOKLYN,.,NEW YORK,Insufficient Information,MALCOLM X DECATUR,Decatur St & Malcolm X Blvd,FALSE,,,,,,,,,,,,,
202985860,.,.,.,.,.,.,.,.,Insufficient Information,Not enough information to decipher,2253 3rd Ave,TRUE,,,,,,,,,,,,,
202988610,MANHATTAN,.,.,.,N W E 124 MADISON AVE,NEW YORK,.,NEW YORK,Insufficient Information,N W E 124 MADISON AVE,Madison Ave & E 124th St,FALSE,,,,,,,,,,,,,
203065812,QUEENS,.,.,.,W B JAMAICA AVENUE 113 ST,QUEENS,.,NEW YORK,Insufficient Information,JAMAICA AVENUE 113 ST,Jamaica Ave & 113th St,FALSE,,,,,,,,,,,,,
203086070,QUEENS,.,.,.,211 HILLSIDE AVENUE,QUEENS,.,NEW YORK,Insufficient Information,211 HILLSIDE AVENUE,211th St & Hillside Ave.,FALSE,,,,,,,,,,,,,
203305594,BROOKLYN,.,.,.,AVE CONEY ISLAND AVE,BROOKLYN,.,NEW YORK,Insufficient Information,AVE CONEY ISLAND AVE,Coney Island Ave & Avenue H,TRUE,,,,,,,,,,,,,
203307987,BROOKLYN,.,.,.,I O AVE K BEDFORD AVE,BROOKLYN,.,NEW YORK,Insufficient Information,AVE K BEDFORD AVE,Bedford Ave & Avenue K,FALSE,,,,,,,,,,,,,
206165576,QUEENS,.,.,.,24 AVENUE 87 STREET,QUEENS,.,NEW YORK,Insufficient Information,24 AVENUE 87 STREET,87th St & 24th Ave,FALSE,,,,,,,,,,,,,
207696895,NOT NYC,.,.,.,W 206TH 6TH AVE,.,.,NEW YORK,Insufficient Information,W 206TH 6TH AVE,N/A,TRUE,,,,,,,,,,,,,
207807261,BRONX,.,.,.,WILKINSON AVENUE MAYFLOWER A,BRONX,.,NEW YORK,Insufficient Information,WILKINSON AVENUE MAYFLOWER A,Wilkinson Ave & Mayflower Ave,FALSE,,,,,,,,,,,,,
207861500,BROOKLYN,.,.,.,NEPTUNE AVENUE STILLWELL AVE,BROOKLYN,.,NEW YORK,Insufficient Information,NEPTUNE AVENUE STILLWELL AVE,Stillwell Ave & Neptune Ave,FALSE,,,,,,,,,,,,,
208111916,BROOKLYN,.,.,.,MYRTLE - WILLOUGHBY AVENUE,BROOKLYN,.,NEW YORK,Insufficient Information,MYRTLE - WILLOUGHBY AVENUE,Myrtle Ave & Willoughby Ave,FALSE,,,,,,,,,,,,,
208115674,BROOKLYN,.,.,.,S E CORNER OF LORIMER STREET,BROOKLYN,.,NEW YORK,Insufficient Information,S E CORNER OF LORIMER STREET,Scholes St & Lorimer St,FALSE,,,,,,,,,,,,,
208115692,BROOKLYN,.,.,.,S E CORNER OF MORGAN AVENUE,BROOKLYN,.,NEW YORK,Insufficient Information,S E CORNER OF MORGAN AVENUE,Scholes St & Morgan Ave,FALSE,,,,,,,,,,,,,
208115739,BROOKLYN,.,.,.,N E CORNER OF BOGART STREET,BROOKLYN,.,NEW YORK,Insufficient Information,N E CORNER OF BOGART STREET,Moore St & Bogart St,FALSE,,,,,,,,,,,,,
209565795,.,.,.,.,.,.,.,.,Insufficient Information,Not enough information to decipher,98-20 41st Ave,TRUE,,,,,,,,,,,,,
211809180,BROOKLYN,.,.,.,MONTROSE UNION AVE,BROOKLYN,.,NEW YORK,Insufficient Information,MONTROSE UNION AVE,Montrose Ave & Union Ave,FALSE,,,,,,,,,,,,,
198928795,QUEENS,.,.,.,E B ON 80TH STREET,QUEENS,.,NEW YORK,Insufficient Information,ON 80TH STREET,80th St,TRUE,,,,,,,,,,,,,
196391571,BROOKLYN,.,.,.,LAFAYETTE GRAND AVE,BROOKLYN,.,NEW YORK,Insufficient Information,LAFAYETTE GRAND AVE,Grand Ave & Lafayette Ave,FALSE,,,,,,,,,,,,,
196441722,BROOKLYN,.,.,.,I O UNION AVENUE AINSLIE STR,BROOKLYN,.,NEW YORK,Insufficient Information,UNION AVENUE AINSLIE STR,Ainslie St & Union Ave,FALSE,,,,,,,,,,,,,
198226921,MANHATTAN,.,.,.,N W CORNER OF W 57 9 AVE,NEW YORK,.,NEW YORK,Insufficient Information,N W CORNER OF W 57 9 AVE,9th Ave & W 57th St,FALSE,,,,,,,,,,,,,
199416508,QUEENS,.,.,.,157 AVENUE 91 STREET,QUEENS,.,NEW YORK,Insufficient Information,157 AVENUE 91 STREET,157th Ave & 91st St,FALSE,,,,,,,,,,,,,
199732089,BROOKLYN,.,.,.,AVENUE M OCEAN AVENUE,BROOKLYN,.,NEW YORK,Insufficient Information,AVENUE M OCEAN AVENUE,Ocean Ave & Avenue M,FALSE,,,,,,,,,,,,,
200124715,BRONX,.,.,.,F O 537 139 STREET,BRONX,.,NEW YORK,Insufficient Information,F O 537 139 STREET,537 E 139th St,FALSE,,,,,,,,,,,,,
200124733,BRONX,.,.,.,F O 537 139 STREET,BRONX,.,NEW YORK,Insufficient Information,F O 537 139 STREET,537 E 139th St,FALSE,,,,,,,,,,,,,
200449289,BRONX,.,.,.,ZEREGA AVENUE BRUCKNER BLVD,BRONX,.,NEW YORK,Insufficient Information,ZEREGA AVENUE BRUCKNER BLVD,Bruckner Blvd & Zerega Ave,FALSE,,,,,,,,,,,,,
200450764,BRONX,.,.,.,BOYNTON AVENUE WESTCHESTER A,BRONX,.,NEW YORK,Insufficient Information,BOYNTON AVENUE WESTCHESTER A,Boynton Ave & Westchester Ave,FALSE,,,,,,,,,,,,,
201052639,BRONX,.,.,.,C O ROMBOUTS AVENUE GIVAN AV,BRONX,.,NEW YORK,Insufficient Information,ROMBOUTS AVENUE GIVAN AV,Givan Ave & Rombouts Ave,FALSE,,,,,,,,,,,,,
201525208,BROOKLYN,.,.,.,JORALEMON FURMAN ST,BROOKLYN,.,NEW YORK,Insufficient Information,JORALEMON FURMAN ST,Joralemon St & Furman St,FALSE,,,,,,,,,,,,,
201675578,BROOKLYN,.,.,.,E 152ND COURTLANDT AVE,BROOKLYN,.,NEW YORK,Insufficient Information,E 152ND COURTLANDT AVE,E 152nd St & Courtlandt Ave,FALSE,,,,,,,,,,,,,
202888328,QUEENS,.,.,.,W B QUEENS MIDTOWN BAY 42 ST,QUEENS,.,NEW YORK,Insufficient Information,QUEENS MIDTOWN BAY 42 ST,Queens Midtown Expy & 42nd St,FALSE,,,,,,,,,,,,,
203315366,MANHATTAN,.,.,.,W 45TH 8TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,W 45TH 8TH AVE,8th Ave & W 45th St,FALSE,,,,,,,,,,,,,
204621780,NOT NYC,.,.,.,WEST 33RD 7TH AVE,.,.,.,Insufficient Information,WEST 33RD 7TH AVE,7th Ave & W 33rd St,FALSE,,,,,,,,,,,,,
206063588,BROOKLYN,.,.,.,I O AVE P OCEAN AVE,BROOKLYN,.,NEW YORK,Insufficient Information,AVE P OCEAN AVE,Ocean Ave & Avenue P,FALSE,,,,,,,,,,,,,
208119717,BROOKLYN,.,.,.,MARCUS GARVEY MYRTLE AV,BROOKLYN,.,NEW YORK,Insufficient Information,MARCUS GARVEY MYRTLE AV,Myrtle Ave & Marcus Garvey Blvd,FALSE,,,,,,,,,,,,,
190692554,MANHATTAN,.,.,.,INTERSECTION E 32 3 AVENUE,NEW YORK,.,NEW YORK,Insufficient Information,INTERSECTION E 32 3 AVENUE,E 32nd St & 3rd Ave,FALSE,,,,,,,,,,,,,
196675858,MANHATTAN,.,.,.,W 35TH BROADWAY,NEW YORK,.,NEW YORK,Insufficient Information,W 35TH BROADWAY,Broadway & W 35th St,FALSE,,,,,,,,,,,,,
196675867,MANHATTAN,.,.,.,W 35TH BROADWAY,NEW YORK,.,NEW YORK,Insufficient Information,W 35TH BROADWAY,Broadway & W 35th St,FALSE,,,,,,,,,,,,,
197760705,MANHATTAN,.,.,.,44 8TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,44 8TH AVE,8th Ave & 44th St,FALSE,,,,,,,,,,,,,
197934853,MANHATTAN,.,.,.,WEST 33RD 10TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,WEST 33RD 10TH AVE,10th Ave & W 33rd St,FALSE,,,,,,,,,,,,,
198161316,MANHATTAN,.,.,.,3RD AVENUE EAST 34 STREET,NEW YORK,.,NEW YORK,Insufficient Information,3RD AVENUE EAST 34 STREET,E 34th St & 3rd Ave,FALSE,,,,,,,,,,,,,
198928795,QUEENS,.,.,.,E B ON 80TH STREET,QUEENS,.,NEW YORK,Insufficient Information,ON 80TH STREET,80th St,FALSE,,,,,,,,,,,,,
199017500,QUEENS,.,.,.,I O HORACE HARDING EXPRESSWA,QUEENS,.,NEW YORK,Insufficient Information,HORACE HARDING EXPRESSWA,Horace Harding Expy & 97th St,TRUE,,,,,,,,,,,,,
199218737,QUEENS,.,.,.,FRANKLIN AVENUE MAIN STREET,QUEENS,.,NEW YORK,Insufficient Information,FRANKLIN AVENUE MAIN STREET,Main St & Franklin Ave,FALSE,,,,,,,,,,,,,
199815532,BROOKLYN,.,.,.,W B AVE I INTER NOSTRAND AVE,BROOKLYN,.,NEW YORK,Insufficient Information,AVE I INTER NOSTRAND AVE,Nostrand Ave & Avenue I,FALSE,,,,,,,,,,,,,
200280484,BROOKLYN,.,.,.,AVENUE Z DEAN AVENUE N E CO,BROOKLYN,.,NEW YORK,Insufficient Information,AVENUE Z DEAN AVENUE N E CO,Ocean Ave & Avenue Z,TRUE,,,,,,,,,,,,,
200664696,BRONX,.,.,.,W B MACOMBS DAM BRIDGE MAJOR,BRONX,.,NEW YORK,Insufficient Information,MACOMBS DAM BRIDGE MAJOR,Macombs Dam Bridge & Major Deegan Expressway,FALSE,,,,,,,,,,,,,
201562231,BROOKLYN,.,.,.,DEKALB MARCUS GARVEY,BROOKLYN,.,NEW YORK,Insufficient Information,DEKALB MARCUS GARVEY,Marcus Garvey Blvd & DeKalb Ave,FALSE,,,,,,,,,,,,,
201573781,BROOKLYN,.,.,.,MARCUS GARVEY FULTON STREET,BROOKLYN,.,NEW YORK,Insufficient Information,MARCUS GARVEY FULTON STREET,Marcus Garvey Blvd & Fulton St,FALSE,,,,,,,,,,,,,
202931118,QUEENS,.,.,.,57 AVENUE QUEENS BLVD,QUEENS,.,NEW YORK,Insufficient Information,57 AVENUE QUEENS BLVD,Queens Blvd & 57th Ave,FALSE,,,,,,,,,,,,,
204748372,BRONX,.,.,.,E TREMONT VALENTINE AVE,BRONX,.,NEW YORK,Insufficient Information,E TREMONT VALENTINE AVE,Valentine Ave & E Tremont Ave,FALSE,,,,,,,,,,,,,
206053596,MANHATTAN,.,.,.,N E CORNER OF W 36 9 AVE,NEW YORK,.,NEW YORK,Insufficient Information,N E CORNER OF W 36 9 AVE,9th Ave & W 36th St.,FALSE,,,,,,,,,,,,,
206200583,MANHATTAN,.,.,.,W 47TH 8TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,W 47TH 8TH AVE,W 47th St & 8th Ave,FALSE,,,,,,,,,,,,,
206200610,MANHATTAN,.,.,.,W 47TH 8TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,W 47TH 8TH AVE,W 47th St & 8th Ave,FALSE,,,,,,,,,,,,,
206201710,MANHATTAN,.,.,.,W 33RD 7 AVE,NEW YORK,.,NEW YORK,Insufficient Information,W 33RD 7 AVE,7th Ave & W 33rd St,FALSE,,,,,,,,,,,,,
207634516,QUEENS,.,.,.,GUY R BREWER LINDEN BLVD,QUEENS,.,NEW YORK,Insufficient Information,GUY R BREWER LINDEN BLVD,Guy R Brewer Blvd & Linden Blvd,FALSE,,,,,,,,,,,,,
209512317,NOT NYC,.,.,.,AVE L E 17 KOLBERT PARK,.,.,NEW YORK,Insufficient Information,AVE L E 17 KOLBERT PARK,Avenue L & E 17th St,FALSE,,,,,,,,,,,,,
211648012,BROOKLYN,.,.,.,S W C O 8TH AVENUE 51 STREET,BROOKLYN,.,NEW YORK,Insufficient Information,8TH AVENUE 51 STREET,W 51st St & 8th Ave,FALSE,,,,,,,,,,,,,
211742686,MANHATTAN,.,.,.,34TH 6TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,34TH 6TH AVE,6th Ave & W 34th St.,FALSE,,,,,,,,,,,,,
211744940,MANHATTAN,.,.,.,W 42ND 8TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,W 42ND 8TH AVE,W 42nd St & 8th Ave,FALSE,,,,,,,,,,,,,
211746509,NOT NYC,.,.,.,32 6TH AVE,.,.,.,Insufficient Information,32 6TH AVE,6th Ave & W 32nd St,FALSE,,,,,,,,,,,,,
211748094,MANHATTAN,.,.,.,33RD 7TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,33RD 7TH AVE,7th Ave & W 33rd St,FALSE,,,,,,,,,,,,,
211749340,NOT NYC,.,.,.,7TH 33RD ST,.,.,.,Insufficient Information,7TH 33RD ST,7th Ave & W 33rd St,FALSE,,,,,,,,,,,,,
212222414,BROOKLYN,.,.,.,F O 38A PULASKI,BROOKLYN,.,NEW YORK,Insufficient Information,F O 38A PULASKI,38A Pulaski St,FALSE,,,,,,,,,,,,,
214739719,MANHATTAN,.,.,.,W 49TH 6TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,W 49TH 6TH AVE,6th Ave & W 49th St,FALSE,,,,,,,,,,,,,
214739728,MANHATTAN,.,.,.,W 49TH 6TH AVE,NEW YORK,.,NEW YORK,Insufficient Information,W 49TH 6TH AVE,6th Ave & W 49th St,FALSE,,,,,,,,,,,,,
214739810,MANHATTAN,.,.,.,N W W 48 6 AVE,NEW YORK,.,NEW YORK,Insufficient Information,N W W 48 6 AVE,6th Ave & W 48th St,FALSE,,,,,,,,,,,,,
200452268,BRONX,.,.,.,INTERSECTION OF METROPOLITAN,BRONX,.,NEW YORK,Insufficient Information,INTERSECTION OF METROPOLITAN,Metropolitan Ave & Wood Ave,TRUE,,,,,,,,,,,,,
201519423,BROOKLYN,1870,1,.,ST ANDREWS PLAYGROUND,BROOKLYN,11216,NEW YORK,Insufficient Information,ST ANDREWS PLAYGROUND,1405 Atlantic Ave,FALSE,,,,,,,,,,,,,
211915469,MANHATTAN,.,.,.,32 7 AVENUE,NEW YORK,.,NEW YORK,Insufficient Information,32 7 AVENUE,7th Ave & W 32nd St,FALSE,,,,,,,,,,,,,
211915478,MANHATTAN,.,.,.,32 7 AVE,NEW YORK,.,NEW YORK,Insufficient Information,32 7 AVE,7th Ave & W 32nd St,FALSE,,,,,,,,,,,,,
201015385,BRONX,.,.,.,ALLERTON AVENUE KINGSLAND AV,BRONX,.,NEW YORK,Insufficient Information,ALLERTON AVENUE KINGSLAND AV,Kingsland Ave & Allerton Ave,FALSE,,,,,,,,,,,,,
204592080,.,.,.,.,.,.,.,.,Insufficient Information,Not enough information to decipher,300 W 40th St,FALSE,,,,,,,,,,,,,
198168933,MANHATTAN,.,.,.,3 AVENUE TUNNEL EXIT ST,NEW YORK,.,NEW YORK,Insufficient Information,3 AVENUE TUNNEL EXIT ST,N/A,FALSE,,,,,,,,,,,,,
